trad,simp,pinyin,English,examples,idx,priority,diff,known
這,这,zhè,this,这个(這個);这里(這裡);这样(這樣),1,1,,4
來,来,lái,to come,回来(回來);来到(來到);未来(未來),2,1,,2
國,国,guó,country,国家(國家);中国(中國);外国(外國),3,1,,2
個,个,gè,measure word (general),个人(個人);个子(個子);各个(各個),4,1,,1
說,说,shuō,to speak,说话(說話);说明(說明);小说(小說),5,1,,2
們,们,men,plural marker,我们(我們);他们(他們);人们(人們),6,1,,2
為,为,wèi,for / because,因为(因為);为了(為了);成为(成為),7,1,,3
時,时,shí,time,时间(時間);时候(時候);同时(同時),8,1,,2
會,会,huì,can / will,会议(會議);机会(機會);社会(社會),9,1,,4
過,过,guò,to cross / past,过去(過去);经过(經過);超过(超過),10,1,,5
學,学,xué,to learn,学习(學習);学生(學生);学校(學校),11,1,,1
對,对,duì,towards / correct,对方(對方);面对(面對);对于(對於),12,1,,5
裡,里,lǐ,inside,里面(裡面);这里(這裡);公里(公里),13,1,,2
後,后,hòu,after / behind,后来(後來);以后(以後);最后(最後),14,1,,5
麼,么,me,question particle,什么(什麼);怎么(怎麼);那么(那麼),15,1,,1
沒,没,méi,not have,没有(沒有);没事(沒事);没关系(沒關係),16,1,,1
於,于,yú,in / at / on,关于(關於);由于(由於);对于(對於),17,1,,5
還,还,hái,still / yet,还有(還有);还是(還是);还好(還好),18,1,,4
發,发,fā,to send / emit,发现(發現);发生(發生);发展(發展),19,1,,4
隻,只,zhī,measure word (animals),只是(只是);只有(只有);只要(只要),20,1,,5
當,当,dāng,to act as / should,当然(當然);当时(當時);当地(當地),21,1,,5
開,开,kāi,to open,开始(開始);开车(開車);离开(離開),22,1,,2
實,实,shí,real / true,其实(其實);实际(實際);实现(實現),23,1,,5
經,经,jīng,classic / to pass,已经(已經);经过(經過);经验(經驗),24,1,,4
進,进,jìn,to enter,进入(進入);进步(進步);前进(前進),25,1,,5
現,现,xiàn,now / to appear,现在(現在);发现(發現);出现(出現),26,1,,4
長,长,cháng,long,长大(長大);成长(成長);校长(校長),27,1,,3
動,动,dòng,to move,运动(運動);活动(活動);动作(動作),28,1,,4
樣,样,yàng,kind / type,这样(這樣);一样(一樣);样子(樣子),29,1,,4
頭,头,tóu,head,头发(頭髮);里头(裡頭);回头(回頭),30,1,,1
機,机,jī,machine,机会(機會);手机(手機);飞机(飛機),31,1,,1
無,无,wú,without,无法(無法);无论(無論);无聊(無聊),32,1,,4
關,关,guān,to close / related,关系(關係);关于(關於);关心(關心),33,1,,4
從,从,cóng,from,从来(從來);从前(從前);从事(從事),34,1,,1
見,见,jiàn,to see,看见(看見);见面(見面);意见(意見),35,1,,2
馬,马,mǎ,horse,马上(馬上);马路(馬路);马车(馬車),36,1,,1
車,车,chē,vehicle,汽车(汽車);火车(火車);开车(開車),37,1,,2
記,记,jì,to remember,记得(記得);记录(記錄);记者(記者),38,1,,1
東,东,dōng,east,东西(東西);东方(東方);广东(廣東),39,1,,1
難,难,nán,difficult,困难(困難);难过(難過);难道(難道),40,1,,4
點,点,diǎn,point / dot,一点(一點);地点(地點);重点(重點),41,1,,3
貝,贝,bèi,shell / surname,宝贝(寶貝);贝壳(貝殼),42,1,,2
聲,声,shēng,sound,声音(聲音);大声(大聲);声明(聲明),43,2,,4
報,报,bào,to report,报告(報告);报名(報名);报纸(報紙),44,2,,2
將,将,jiāng,will / shall,将来(將來);即将(即將);将近(將近),45,2,,4
寫,写,xiě,to write,写作(寫作);写字(寫字);书写(書寫),46,2,,5
親,亲,qīn,parent / relative,亲人(親人);父亲(父親);母亲(母親),47,2,,5
愛,爱,ài,to love,爱情(愛情);可爱(可愛);爱好(愛好),48,2,,4
張,张,zhāng,measure word / surname,张开(張開);紧张(緊張);夸张(誇張),49,2,,5
則,则,zé,rule / standard,否则(否則);原则(原則);规则(規則),50,2,,4
認,认,rèn,to recognize,认识(認識);认为(認為);认真(認真),51,2,,5
邊,边,biān,side / edge,旁边(旁邊);这边(這邊);一边(一邊),52,2,,4
變,变,biàn,to change,变化(變化);改变(改變);变成(變成),53,2,,5
許,许,xǔ,to allow,也许(也許);许多(許多);允许(允許),54,2,,4
問,问,wèn,to ask,问题(問題);请问(請問);访问(訪問),55,2,,5
講,讲,jiǎng,to speak / explain,讲话(講話);讲座(講座);演讲(演講),56,2,,5
論,论,lùn,to discuss,讨论(討論);无论(無論);理论(理論),57,2,,5
書,书,shū,book,书店(書店);读书(讀書);书法(書法),58,2,,5
遠,远,yuǎn,far,远方(遠方);永远(永遠);远离(遠離),59,2,,5
廠,厂,chǎng,factory,工厂(工廠);厂家(廠家);厂长(廠長),60,2,,4
黨,党,dǎng,party (political),党员(黨員);政党(政黨);共产党(共產黨),61,2,,5
萬,万,wàn,ten thousand,千万(千萬);百万(百萬);万一(萬一),62,2,,5
門,门,mén,door / gate,门口(門口);出门(出門);部门(部門),63,2,,4
風,风,fēng,wind,风景(風景);刮风(颳風);风格(風格),64,2,,4
語,语,yǔ,language,语言(語言);英语(英語);汉语(漢語),65,2,,4
單,单,dān,single,简单(簡單);单位(單位);名单(名單),66,2,,4
臺,台,tái,platform / stand,台湾(臺灣);舞台(舞臺);台风(颱風),67,2,,4
華,华,huá,China / splendid,中华(中華);华人(華人);华丽(華麗),68,2,,5
鮮,鲜,xiān,fresh,新鲜(新鮮);鲜花(鮮花);海鲜(海鮮),69,2,,4
衛,卫,wèi,to guard,卫生(衛生);保卫(保衛);卫星(衛星),70,2,,5
陽,阳,yáng,sun / positive,太阳(太陽);阳光(陽光);阳台(陽臺),71,2,,5
